DEPARTAMENTO,MUNICIPIO,AÑO,Centros_5G_predicho,Antenas_5G_Predicho
CUNDINAMARCA,SOACHA,2025,31,4
CUNDINAMARCA,SOPÓ,2025,46,6
CUNDINAMARCA,SUBACHOQUE,2025,50,6
CUNDINAMARCA,SUESCA,2025,27,3
CUNDINAMARCA,SUPATÁ,2025,15,2
CUNDINAMARCA,SUSA,2025,15,2
CUNDINAMARCA,SUTATAUSA,2025,27,3
CUNDINAMARCA,TABIO,2025,62,8
CUNDINAMARCA,TAUSA,2025,27,3
CUNDINAMARCA,TENA,2025,23,3
CUNDINAMARCA,TENJO,2025,77,10
CUNDINAMARCA,TIBACUY,2025,23,3
CUNDINAMARCA,TIBIRITA,2025,11,1
CUNDINAMARCA,TOCAIMA,2025,38,5
CUNDINAMARCA,TOCANCIPÁ,2025,152,19
CUNDINAMARCA,TOPAIPÍ,2025,22,3
CUNDINAMARCA,UBALÁ,2025,27,3
CUNDINAMARCA,UBAQUE,2025,15,2
CUNDINAMARCA,UNE,2025,23,3
CUNDINAMARCA,VERGARA,2025,31,4
CUNDINAMARCA,VIANÍ,2025,15,2
